[2026-07-16T18:02:46] Scheduler started
[2026-07-16T18:08:26] Started local_timemixer | local_timemixer_083_half_quarterly_low_mag_noise0_lt2 | run_9 | freq=7 | noise=1 | magnitude=50 | lead_time=2 | PID 3637786 | GPU 0
[2026-07-16T18:08:30] Started local_timemixer | local_timemixer_085_half_quarterly_low_mag_noise10_lt1 | run_9 | freq=7 | noise=1 | magnitude=50 | lead_time=1 | PID 3637818 | GPU 4
[2026-07-16T18:08:33] Started local_timemixer | local_timemixer_086_half_quarterly_low_mag_noise10_lt2 | run_3 | freq=7 | noise=1 | magnitude=50 | lead_time=2 | PID 3637829 | GPU 4
[2026-07-16T18:10:11] Finished split_multichannel | split_multichannel_097_half_quarterly_medium_mag_noise100_lt1 | run_8 | freq=7 | noise=1 | magnitude=100 | lead_time=1
[2026-07-16T18:10:12] Started split_multichannel | split_multichannel_040_half_yearly_medium_mag_noise10_lt1 | run_4 | freq=26 | noise=1 | magnitude=100 | lead_time=1 | PID 3640814 | GPU 6
[2026-07-16T18:10:15] Started split_multichannel | split_multichannel_040_half_yearly_medium_mag_noise10_lt1 | run_8 | freq=26 | noise=1 | magnitude=100 | lead_time=1 | PID 3640932 | GPU 6
[2026-07-16T18:10:18] Started split_multichannel | split_multichannel_041_half_yearly_medium_mag_noise10_lt2 | run_3 | freq=26 | noise=1 | magnitude=100 | lead_time=2 | PID 3640993 | GPU 2
[2026-07-16T18:10:22] Started split_multichannel | split_multichannel_041_half_yearly_medium_mag_noise10_lt2 | run_8 | freq=26 | noise=1 | magnitude=100 | lead_time=2 | PID 3641008 | GPU 1
[2026-07-16T18:10:25] Started split_multichannel | split_multichannel_042_half_yearly_medium_mag_noise10_lt3 | run_2 | freq=26 | noise=1 | magnitude=100 | lead_time=3 | PID 3641016 | GPU 3
[2026-07-16T18:10:28] Started split_multichannel | split_multichannel_042_half_yearly_medium_mag_noise10_lt3 | run_6 | freq=26 | noise=1 | magnitude=100 | lead_time=3 | PID 3641024 | GPU 3
[2026-07-16T18:10:32] Started split_multichannel | split_multichannel_043_half_yearly_medium_mag_noise100_lt1 | run_0 | freq=26 | noise=1 | magnitude=100 | lead_time=1 | PID 3641032 | GPU 1
[2026-07-16T18:10:35] Started split_multichannel | split_multichannel_043_half_yearly_medium_mag_noise100_lt1 | run_4 | freq=26 | noise=1 | magnitude=100 | lead_time=1 | PID 3641040 | GPU 2
[2026-07-16T18:10:38] Started split_multichannel | split_multichannel_043_half_yearly_medium_mag_noise100_lt1 | run_8 | freq=26 | noise=1 | magnitude=100 | lead_time=1 | PID 3641052 | GPU 5
[2026-07-16T18:10:42] Started split_multichannel | split_multichannel_044_half_yearly_medium_mag_noise100_lt2 | run_2 | freq=26 | noise=1 | magnitude=100 | lead_time=2 | PID 3641062 | GPU 6
[2026-07-16T18:10:45] Started split_multichannel | split_multichannel_044_half_yearly_medium_mag_noise100_lt2 | run_6 | freq=26 | noise=1 | magnitude=100 | lead_time=2 | PID 3641078 | GPU 7
[2026-07-16T18:10:48] Started split_multichannel | split_multichannel_045_half_yearly_medium_mag_noise100_lt3 | run_4 | freq=26 | noise=1 | magnitude=100 | lead_time=3 | PID 3641090 | GPU 2
[2026-07-16T18:10:52] Started split_multichannel | split_multichannel_045_half_yearly_medium_mag_noise100_lt3 | run_8 | freq=26 | noise=1 | magnitude=100 | lead_time=3 | PID 3641276 | GPU 5
[2026-07-16T18:10:55] Started split_multichannel | split_multichannel_046_half_yearly_high_mag_noise0_lt1 | run_2 | freq=26 | noise=1 | magnitude=200 | lead_time=1 | PID 3641284 | GPU 1
[2026-07-16T18:11:08] Started split_multichannel | split_multichannel_085_half_quarterly_low_mag_noise10_lt1 | run_0 | freq=7 | noise=1 | magnitude=50 | lead_time=1 | PID 3641516 | GPU 6
[2026-07-16T18:11:23] Started local_timemixer | local_timemixer_018_yearly_medium_mag_noise100_lt3 | run_1 | freq=52 | noise=1 | magnitude=100 | lead_time=3 | PID 3642076 | GPU 0
[2026-07-16T18:11:26] Started local_timemixer | local_timemixer_018_yearly_medium_mag_noise100_lt3 | run_5 | freq=52 | noise=1 | magnitude=100 | lead_time=3 | PID 3642172 | GPU 0
[2026-07-16T18:11:44] Started local_timemixer | local_timemixer_075_quarterly_high_mag_noise0_lt3 | run_9 | freq=13 | noise=1 | magnitude=200 | lead_time=3 | PID 3642481 | GPU 3
[2026-07-16T18:13:23] Finished split_multichannel | split_multichannel_046_half_yearly_high_mag_noise0_lt1 | run_2 | freq=26 | noise=1 | magnitude=200 | lead_time=1
[2026-07-16T18:13:24] Started split_multichannel | split_multichannel_046_half_yearly_high_mag_noise0_lt1 | run_7 | freq=26 | noise=1 | magnitude=200 | lead_time=1 | PID 3645255 | GPU 1
[2026-07-16T18:13:27] Started split_multichannel | split_multichannel_047_half_yearly_high_mag_noise0_lt2 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 3645304 | GPU 1
