[2026-07-15T18:21:40] Started None | no_training_ma_007_yearly_low_mag_noise100_lt1 | run_4 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 1144081 | GPU None
[2026-07-15T18:21:43] Started None | no_training_ma_007_yearly_low_mag_noise100_lt1 | run_5 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 1144116 | GPU None
[2026-07-15T18:21:47] Finished None | no_training_ma_007_yearly_low_mag_noise100_lt1 | run_3 | freq=52 | noise=1 | magnitude=50 | lead_time=1
[2026-07-15T18:21:47] Started None | no_training_ma_007_yearly_low_mag_noise100_lt1 | run_6 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 1144184 | GPU None
[2026-07-15T18:21:51] Started None | no_training_ma_007_yearly_low_mag_noise100_lt1 | run_7 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 1144274 | GPU None
[2026-07-15T18:21:54] Started None | no_training_ma_007_yearly_low_mag_noise100_lt1 | run_8 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 1144359 | GPU None
[2026-07-15T18:21:57] Started None | no_training_ma_007_yearly_low_mag_noise100_lt1 | run_9 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 1144455 | GPU None
[2026-07-15T18:22:00] Started None | no_training_ma_008_yearly_low_mag_noise100_lt2 | run_0 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1144540 | GPU None
[2026-07-15T18:22:03] Started None | no_training_ma_008_yearly_low_mag_noise100_lt2 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1144571 | GPU None
[2026-07-15T18:22:07] Started None | no_training_ma_008_yearly_low_mag_noise100_lt2 | run_2 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1144590 | GPU None
[2026-07-15T18:22:10] Started None | no_training_ma_008_yearly_low_mag_noise100_lt2 | run_3 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1144609 | GPU None
[2026-07-15T18:22:13] Started None | no_training_ma_008_yearly_low_mag_noise100_lt2 | run_4 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1144628 | GPU None
[2026-07-15T18:22:16] Started None | no_training_ma_008_yearly_low_mag_noise100_lt2 | run_5 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1144654 | GPU None
